Country,Year,Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]",Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food imports (current US$),Food imports per capita (current US$),Food imports (% GDP)
New Zealand,1995,13957000000,63918039319.8725,17400.2393749313,3673400,7.40521817849876,1033546301.1730719,281.35958544483907,1.6169868665726363
New Zealand,1996,14724000000,70140835299.0148,18794.436039393,3732000,7.60752945671921,1120132637.2073364,300.14272165255534,1.596976472310517
New Zealand,1997,14519000000,66074513017.7142,17474.0203151599,3781300,7.77482745319274,1128827197.9290538,298.5288651863258,1.7084154636545283
New Zealand,1998,12495000000,56227696194.5366,14738.5835372311,3815000,9.20442628880301,1150093064.785936,301.4660720277683,2.045420927094085
New Zealand,1999,14299000000,58762260625.8758,15322.2238340267,3835100,7.78376021415751,1112999873.0223825,290.21404214293824,1.8940725921158248
New Zealand,2000,13906000000,52622842840.2055,13640.9888898062,3857700,7.72200695474736,1073822287.127168,278.35816344639755,2.040601056822293
New Zealand,2001,13308000000,53872425916.6248,13882.8568268586,3880500,8.3441454585886,1110438877.6289709,286.15871089523796,2.0612379315301896
New Zealand,2002,15047000000,66627729311.4495,16874.1874918196,3948500,8.54987786664062,1286500122.593414,325.81996266770017,1.9308779330895465
New Zealand,2003,18559000000,88250885550.2626,21913.7081719961,4027200,8.15128342565325,1512796690.966987,375.6447881821084,1.7142000123107948
New Zealand,2004,23195000000,103904537815.126,25420.0704134865,4087500,7.58475228061212,1759283291.487981,430.4056982233593,1.6931727222714923
New Zealand,2005,26219355000,114718721396.888,27750.7248353584,4133900,7.64391342463526,2004184796.697776,484.816951715759,1.7470424812040697
New Zealand,2006,26424312000,111608845081.383,26671.3294177179,4184600,8.09073843841042,2137921968.0694973,510.9023486281837,1.9155488675745784
New Zealand,2007,30882017000,137316087308.003,32510.0826999392,4223800,8.57484191865674,2648084139.0427003,626.9435435017521,1.9284587778145683
New Zealand,2008,34369315000,133279679482.674,31287.7786475125,4259800,9.35707970875612,3215964199.9034734,754.9566176589213,2.4129441280068056
New Zealand,2009,25573868000,121338622025.111,28201.2322839936,4302600,10.6910719620498,2734120631.359626,635.4577770091632,2.2532979077294946
New Zealand,2010,30616823000,146583831538.331,33692.0108346543,4350700,10.5809944827267,3239564352.416199,744.6076154219319,2.210042075185535
New Zealand,2011,37104897000,168461998741.295,38426.5508077771,4384000,10.7667436833405,3994989153.957499,911.2657741691376,2.3714482695248997
New Zealand,2012,38253652000,176192886551.397,39970.2562445037,4408100,10.5677571671783,4042553050.937445,917.0738075219358,2.2943906136404646
New Zealand,2013,39640900000,190785204763.525,42949.3268417022,4442100,10.609461379885,4205685976.1388326,946.7787704326405,2.2044088698343822
New Zealand,2014,42518491000,200955119873.905,44560.6403694048,4509700,10.7789575450806,4583050093.6989155,1016.2649607953779,2.280633654208303
New Zealand,2015,36550058000,177620948761.31,38649.3784975761,4595700,11.332309525304,4141965704.238137,901.2698183602361,2.3319128363649155
New Zealand,2016,36062608000,189285950470.754,40331.9591048227,4693200,11.4507225949278,4129429202.5762405,879.8749685877953,2.1815825169836183
New Zealand,2017,40114772747.7625,205852838254.712,42940.5782879727,4793900,11.5209371919653,4621597772.969331,964.058026443883,2.24509791176685
St. Kitts and Nevis,1987,79000000,140705629.62963,3402.71407292761,41351,19.1846968448439,15155910.50742668,366.5185970696399,10.771360426246318
St. Kitts and Nevis,1988,93000000,165745740.740741,4037.95017274687,41047,,,,
St. Kitts and Nevis,1989,102000000,185094777.777778,4530.8620820958,40852,,,,
St. Kitts and Nevis,1990,110000000,208740444.444444,5111.92742431416,40834,,,,
St. Kitts and Nevis,1991,110000000,209880962.962963,5117.42527888628,41013,,,,
St. Kitts and Nevis,1992,95000000,229434518.518519,5547.12213240779,41361,,,,
St. Kitts and Nevis,1993,118000000,249676000,5966.54399464704,41846,21.9917867210318,25950308.330817524,620.1383245905827,10.393593429411526
St. Kitts and Nevis,1994,128000000,277567259.259259,6550.56897692538,42373,21.1748208443967,27103770.680827774,639.6471970553837,9.76475782956511
